time,x,y,theta,Vx,Vy,Vlin,Vang,grad_atr_pot_x,grad_atr_pot_y,grad_rep_pot_x,grad_rep_pot_y
21600000000,-19.5,-20.0,0.0,0.1944083098128843,0.148710980290166,0.1944083098128843,0.297421960580332,-37.422690558035235,-33.15934606408185,-1.4589714045416236,3.417150006048654
21600000000,-19.5,-20.0,0.0,0.1944083098128843,0.148710980290166,0.1944083098128843,0.297421960580332,-37.422690558035235,-33.15934606408185,-1.4589714045416236,3.417150006048654
21700000000,-19.5,-20.0,0.0,0.19316696497264974,0.14828674616777546,0.19316696497264974,0.2965734923355509,-37.422690558035235,-33.15934606408185,-1.2107024364947108,3.501996830526763
21700000000,-19.5,-20.0,0.0,0.19316696497264974,0.14828674616777546,0.19316696497264974,0.2965734923355509,-37.422690558035235,-33.15934606408185,-1.2107024364947108,3.501996830526763
21800000000,-19.480780302273406,-19.98513109436517,0.02974219605803321,0.1933719095425253,0.14921400912335847,0.1977236856651785,0.28679511882712355,-37.42167374250189,-33.16049357759538,-1.252708166003175,3.317691752923687
21800000000,-19.480780302273406,-19.98513109436517,0.02974219605803321,0.1910352337005434,0.1479171027841541,0.19534947610071512,0.28434142855556854,-37.42167374250189,-33.16049357759538,-0.7853729976067947,3.577073020764562
21900000000,-19.46213283282211,-19.969743252979494,0.0593995452915883,0.19319550408671585,0.14882604997037843,0.20168977998487594,0.27418919452639384,-37.4211389074622,-33.16109713004711,-1.21796190988097,3.3958871359714236
21900000000,-19.46213283282211,-19.969743252979494,0.0593995452915883,0.19319550408671585,0.14882604997037843,0.20168977998487594,0.27418919452639384,-37.4211389074622,-33.16109713004711,-1.21796190988097,3.3958871359714236
22000000000,-19.443451744852542,-19.954269176403987,0.08807905717430067,0.19327119877378912,0.1492508125447865,0.20565087204653631,0.26334221193903307,-37.42063015213209,-33.16167123378046,-1.2336096026257357,3.3115087248231583
22000000000,-19.443451744852542,-19.954269176403987,0.08807905717430067,0.19327119877378912,0.1492508125447865,0.20565087204653631,0.26334221193903307,-37.42063015213209,-33.16167123378046,-1.2336096026257357,3.3115087248231583
22100000000,-19.424753964421424,-19.93885693527245,0.11549797662694006,0.19329629770917506,0.1493546466513472,0.20922029781792556,0.2521676915498997,-37.42008481732613,-33.16228659583229,-1.239174724508885,3.2913572655628496
22100000000,-19.424753964421424,-19.93885693527245,0.11549797662694006,0.19329629770917506,0.1493546466513472,0.20922029781792556,0.2521676915498997,-37.42008481732613,-33.16228659583229,-1.239174724508885,3.2913572655628496
22200000000,-19.40601531983096,-19.92342909188778,0.14183219782084336,0.19115197142567358,0.14876065303657895,0.21026093229289974,0.240492398408861,-37.41952925457806,-33.16291347824821,-0.8108650305566532,3.4107828709324157
22200000000,-19.40601531983096,-19.92342909188778,0.14183219782084336,0.19115197142567358,0.14876065303657895,0.21026093229289974,0.240492398408861,-37.41952925457806,-33.16291347824821,-0.8108650305566532,3.4107828709324157
22300000000,-19.38724283836393,-19.908013627153046,0.1670489669758333,0.19127927609001327,0.1488736748419932,0.21337030924026865,0.22999342301197387,-37.41895318985819,-33.163563472208494,-0.8369020281444589,3.388828503809852
22300000000,-19.38724283836393,-19.908013627153046,0.1670489669758333,0.19127927609001327,0.1488736748419932,0.21337030924026865,0.22999342301197387,-37.41895318985819,-33.163563472208494,-0.8369020281444589,3.388828503809852
22400000000,-19.36865118412548,-19.892685502361427,0.19109820681671946,0.19189827325667388,0.1491345200802195,0.21673119938125257,0.2199421703376977,-37.41841098928599,-33.16417523528787,-0.96124366204879,3.3372712192439744
22400000000,-19.36865118412548,-19.892685502361427,0.19109820681671946,0.19189827325667388,0.1491345200802195,0.21673119938125257,0.2199421703376977,-37.41841098928599,-33.16417523528787,-0.96124366204879,3.3372712192439744
22500000000,-19.350016419925485,-19.877368584067437,0.2140975491179168,0.19155891227544364,0.14924941777491937,0.21889571838094118,0.21028428427055806,-37.417844957107654,-33.16481386599137,-0.8939374979810718,3.3149303110074957
22500000000,-19.350016419925485,-19.877368584067437,0.2140975491179168,0.19155891227544364,0.14924941777491937,0.21889571838094118,0.21028428427055806,-37.417844957107654,-33.16481386599137,-0.8939374979810718,3.3149303110074957
22600000000,-19.331292619245936,-19.86204432193607,0.23609176615168662,0.1916211112439571,0.1493257980563127,0.2212334474904384,0.20072474636694987,-37.41724459497894,-33.16549120576265,-0.906977653812477,3.3003315945001166
22600000000,-19.331292619245936,-19.86204432193607,0.23609176615168662,0.1916211112439571,0.1493257980563127,0.2212334474904384,0.20072474636694987,-37.41724459497894,-33.16549120576265,-0.906977653812477,3.3003315945001166
22700000000,-19.31257689388733,-19.84672831536229,0.2571201945787423,0.19161572571838364,0.14945787425431498,0.22332322062606197,0.19163487833277865,-37.416643149434336,-33.16616974309649,-0.9065019942423919,3.2745948922334955
22700000000,-19.31257689388733,-19.84672831536229,0.2571201945787423,0.19161572571838364,0.14945787425431498,0.22332322062606197,0.19163487833277865,-37.416643149434336,-33.16616974309649,-0.9065019942423919,3.2745948922334955
22800000000,-19.293830245018324,-19.83142238279786,0.27719266921543745,0.1924554426676103,0.14977873614622764,0.22609686596288586,0.18278921648399205,-37.416023419751944,-33.16686888225317,-1.0750651137701182,3.21112165300764
22800000000,-19.293830245018324,-19.83142238279786,0.27719266921543745,0.1924554426676103,0.14977873614622764,0.22609686596288586,0.18278921648399205,-37.416023419751944,-33.16686888225317,-1.0750651137701182,3.21112165300764
