time,x,y,theta,Vx,Vy,Vlin,Vang,grad_atr_pot_x,grad_atr_pot_y,targ_cell_row,targ_cell_col
59800000000,16.064730724135746,-16.999983290016953,9.249282589077246e-05,2.338173189660635,-4.177495761759076e-05,2.3381731757953057,-0.0005160784057285984,-4.67634637932127,8.354991523518152e-05,29,27
59900000000,16.164730723568145,-16.9999725525906,9.546911345818422e-05,2.0881731910796386,-6.861852350326103e-05,2.0881731750125168,-0.0005359491323744829,-4.176346382159277,0.00013723704700652206,29,27
59900000000,16.164730723568145,-16.9999725525906,9.546911345818422e-05,2.0881731910796386,-6.861852350326103e-05,2.0881731750125168,-0.0005359491323744829,-4.176346382159277,0.00013723704700652206,29,27
60000000000,16.264730724910063,-16.999988809599486,4.3861272885324355e-05,1.838173187724843,-2.7976001284457652e-05,1.8381731847296308,-0.00021720123405796434,-3.676346375449686,5.5952002568915304e-05,29,27
60000000000,16.264730724910063,-16.999988809599486,4.3861272885324355e-05,1.838173187724843,-2.7976001284457652e-05,1.8381731847296308,-0.00021720123405796434,-3.676346375449686,5.5952002568915304e-05,29,27
60100000000,16.364730725271137,-17.000011220928812,-9.733640352123946e-06,1.5881731868221571,2.8052322029736843e-05,1.5881731864738713,8.702205729115456e-05,-3.1763463736443143,-5.6104644059473685e-05,29,27
60100000000,16.364730725271137,-17.000011220928812,-9.733640352123946e-06,1.5881731868221571,2.8052322029736843e-05,1.5881731864738713,8.702205729115456e-05,-3.1763463736443143,-5.6104644059473685e-05,29,27
60200000000,16.464730725042752,-17.000023054354546,-3.1453763757920384e-05,1.338173187393119,5.763588636575889e-05,1.3381731849182998,0.0001994529392675087,-2.676346374786238,-0.00011527177273151779,29,27
60200000000,16.464730725042752,-17.000023054354546,-3.1453763757920384e-05,1.338173187393119,5.763588636575889e-05,1.3381731849182998,0.0001994529392675087,-2.676346374786238,-0.00011527177273151779,29,27
60300000000,16.56473072511121,-17.00002184862806,-2.2751558028804927e-05,1.0881731872219724,5.4621570146906606e-05,1.0881731856976091,0.0001587584110902081,-2.176346374443945,-0.00010924314029381321,29,27
